country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
AFG,18869945678.0,4.975951506,2.647003202,652225,1,Asia,Persian,36296111.0,519.8889126,26.42019908,10.051874,41.27197891,167.5489697,51533896.77
AGO,122123822334.0,29.84358669,-0.1472129411,1246700,0,Africa,Portuguese,29816769.0,4095.810057,10.01699591,42.16795355,40.18544381,147.7066494,-7397295409.0
ALB,13019693451.0,2.060598459,3.802197488,28748,0,Europe,Albanian,2873457.0,4531.020806,19.02214284,20.35836057,58.08892528,94.53256107,1022757857.0
ARE,385605506855.0,1.966825578,2.373536708,83657,0,Asia,Arabic,9487206.0,40644.79119,0.7705473397,42.57462498,152.2947649,152.8648477,10354223000.0
ARG,643628665303.0,25.68,2.818502972,2766889,0,America,Spanish,44044811.0,14613.04182,5.231622377,21.78212322,19.51140569,150.7457768,11516861462.0
ARM,11527458566.0,0.9695532688,7.500000002,29800,1,Asia,Armenian,2944789.0,3914.527854,14.99426012,25.80953238,55.81455759,132.1706988,250935110.2
ATG,1467977778.0,2.43248789,3.145543603,442,0,America,English,95425.0,15383.5764,1.793598652,19.22069665,39.16953027,54.62271146,156934594.9
AUS,1329188475752.0,1.948647409,2.300610624,7686848,0,Pacific,English,24601860.0,54027.96682,2.704424891,23.46106467,34.60088681,172.4928872,47281951027.0
AUT,417237869116.0,2.081269114,2.399587603,83858,1,Europe,German,8797566.0,47309.36627,1.210593152,25.40948444,82.59850871,87.39412265,13518864836.0
AZE,40865558912.0,12.93591842,0.1536146467,86600,1,Asia,Azeri,9854033.0,4147.089716,5.607369011,49.7017251,59.37518205,123.794084,2867487000.0
BDI,3172292379.0,16.0525353,0.5000099988,27834,1,Africa,French,10827010.0,292.9980095,28.54664701,10.99312984,29.22177054,161.5562119,316473.4494
BEL,502698069367.0,2.12597086,1.608086835,33114,0,Europe,Dutch,11375158.0,44089.31009,0.6650936602,19.23536249,167.2635592,95.76767056,-37288840312.0
BEN,12701656931.0,1.769412474,5.671555469,112622,0,Africa,French,11175192.0,1136.59397,28.48901653,15.10758585,44.95476865,129.9256095,200902719.3
BFA,14106956830.0,1.482998972,6.203489411,274200,1,Africa,French,19193236.0,734.996268,20.58558722,25.14023722,47.74949042,140.4540499,2572690.322
BGD,249711027660.0,5.702070157,7.284174423,143998,0,Asia,Bengali,159685421.0,1563.767819,13.413466,27.75089998,35.51586736,66.2913641,1810395804.0
BGR,58971520599.0,2.061596194,3.50275153,110994,0,Europe,Bulgarian,7075947.0,8334.081728,4.034631896,24.25257907,111.2774426,111.0493019,2007290000.0
BHR,35473776596.0,1.386718306,4.290949778,678,0,Asia,Arabic,1494077.0,23742.93734,0.2905952404,41.17680576,80.40023572,137.9868329,518882978.7
BHS,12490700000.0,1.499926233,3.115613515,13939,0,America,English,381749.0,32719.66659,0.7677712218,13.33632222,29.46191967,78.64972193,304587573.1
